"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 13 17:47:06 GMT 2021","Fri Aug 13 17:47:18 GMT 2021","11923","test_conduit","test_conduit","","","","test_data_change",""
"passed","Fri Aug 13 17:46:17 GMT 2021","Fri Aug 13 17:46:21 GMT 2021","4985","test_conduit","test_conduit","","","","test_registration",""
"passed","Fri Aug 13 17:46:21 GMT 2021","Fri Aug 13 17:46:25 GMT 2021","3668","test_conduit","test_conduit","","","","test_logout",""
"broken","Fri Aug 13 17:47:30 GMT 2021","Fri Aug 13 17:47:32 GMT 2021","1802","test_conduit","test_conduit","","","","test_data_save",""
"passed","Fri Aug 13 17:46:04 GMT 2021","Fri Aug 13 17:46:16 GMT 2021","12300","test_conduit","test_conduit","","","","test_cookie",""
"passed","Fri Aug 13 17:46:28 GMT 2021","Fri Aug 13 17:46:30 GMT 2021","1946","test_conduit","test_conduit","","","","test_data_list",""
"broken","Fri Aug 13 17:46:42 GMT 2021","Fri Aug 13 17:46:54 GMT 2021","11913","test_conduit","test_conduit","","","","test_new_data",""
"broken","Fri Aug 13 17:47:18 GMT 2021","Fri Aug 13 17:47:30 GMT 2021","11987","test_conduit","test_conduit","","","","test_del_data",""
"broken","Fri Aug 13 17:46:54 GMT 2021","Fri Aug 13 17:47:06 GMT 2021","11940","test_conduit","test_conduit","","","","test_data_from_file",""
"broken","Fri Aug 13 17:46:30 GMT 2021","Fri Aug 13 17:46:42 GMT 2021","12283","test_conduit","test_conduit","","","","test_pagination",""
"passed","Fri Aug 13 17:46:25 GMT 2021","Fri Aug 13 17:46:28 GMT 2021","2645","test_conduit","test_conduit","","","","test_login",""
